ENGLISH	DEFINITION (EN)	TAJIK	DEFINITION (TG)
application	https://www.merriam-webster.com/dictionary/application	корбурд	барномаи роёнаӣ (ба монанди вожапардоз ё ҷадвали электронӣ), ки вазифа ё маҷмӯъи вазифаҳои махсусро иҷро мекунад
artificial intelligence	https://www.merriam-webster.com/dictionary/artificial%20intelligence	зеҳни сунъӣ, ҳуши маснӯъӣ	қобилияти мошин, ки рафтори оқилонаи инсонро тақлид мекунад
augmented reality	https://www.merriam-webster.com/dictionary/augmented%20reality	воқеъияти афзуда	навъи мукаммали воқеъият, ки бо корбасти фанноварии пӯшонидани иттилооти рақамӣ бар тасвири чизе, ки тавассути дастгоҳ дида мешавад (ба монанди камераи смартфон) сохта шудааст
bandwidth	https://www.merriam-webster.com/dictionary/bandwidth	#	#
benchmark	https://www.merriam-webster.com/dictionary/benchmark	#	#
big data	https://www.merriam-webster.com/dictionary/big%20data	додаҳои калон	ҷамъшавии додаҳо, ки барои коркард тавассути воситаҳои идоракунии додагони анъанавӣ бениҳоят калон ва печида аст
buffer	https://www.merriam-webster.com/dictionary/buffer	миёнгир	https://vazhaju.tj/search/%D0%BC%D0%B8%D1%91%D0%BD%D0%B3%D0%B8%D1%80
bug	https://dictionary.cambridge.org/dictionary/english/bug	нуқсон	хатогӣ ё монеа дар барномаи роёнаӣ
compiler	https://www.merriam-webster.com/dictionary/compiler	мутарҷим	https://vazhaju.tj/search/%D0%BC%D1%83%D1%82%D0%B0%D1%80%D2%B7%D0%B8%D0%BC
computer	https://www.merriam-webster.com/dictionary/computer	роёна	https://vazhaju.tj/search/%D1%80%D0%BE%D1%91%D0%BD%D0%B0
container	https://www.merriam-webster.com/dictionary/container	боргунҷ	#
containerization	https://www.merriam-webster.com/dictionary/containerization	боргунҷбарӣ	#
core	#	ҳаста	#
data	https://dictionary.cambridge.org/dictionary/english/data	дода	https://vazhaju.tj/search/%D0%B4%D0%BE%D0%B4%D0%B0
data mining	https://www.merriam-webster.com/dictionary/data%20mining	додаковӣ	https://vazhaju.tj/search/%D0%B4%D0%BE%D0%B4%D0%B0%D0%BA%D0%BE%D0%B2%D3%A3
database	https://dictionary.cambridge.org/dictionary/english/database	додагон, пойгоҳи додаҳо	https://vazhaju.tj/search/%D0%B4%D0%BE%D0%B4%D0%B0%D0%B3%D0%BE%D0%BD
debugger	https://translate.google.com/?sl=en&tl=tg&text=debugger&op=translate	бенуқсонкунак	барномаи роёнаӣ, ки барои санҷиш ва бенуқсонкунии дигар барномаҳо корбаст карда мешавад
debugging	https://dictionary.cambridge.org/dictionary/english/debug?q=debugging	бенуқсонкунӣ	раванди ёфтану бартарафкунии нуқсонҳо дар барномаи роёнаӣ
hardware	https://dictionary.cambridge.org/dictionary/english/hardware	сахтафзор	https://vazhaju.tj/search/%D1%81%D0%B0%D1%85%D1%82%D0%B0%D1%84%D0%B7%D0%BE%D1%80
information	https://www.merriam-webster.com/thesaurus/information	иттилоот	https://vazhaju.tj/search/%D0%B8%D1%82%D1%82%D0%B8%D0%BB%D0%BE%D0%BE%D1%82
information technology	https://dictionary.cambridge.org/dictionary/english/information-technology	фанноварии иттилоот	https://vazhaju.tj/search/%D1%84%D0%B0%D0%BD%D0%BD%D0%BE%D0%B2%D0%B0%D1%80%D0%B8%D0%B8%20%D0%B8%D1%82%D1%82%D0%B8%D0%BB%D0%BE%D0%BE%D1%82
interpreter	https://www.merriam-webster.com/dictionary/interpreter	муфассир	https://vazhaju.tj/search/%D0%BC%D1%83%D1%84%D0%B0%D1%81%D1%81%D0%B8%D1%80
kernel	#	мағз	#
machine learning	https://www.merriam-webster.com/dictionary/machine%20learning	омӯзиши мошин, ёдгирии мошин	раванде, ки тавассути он роёна метавонад кори худро, тавассути иловакунии додаҳои нав ба модели омории мавҷуда, беҳтар созад
network	https://www.merriam-webster.com/dictionary/network	шабака	#
neural network	https://dictionary.cambridge.org/dictionary/english/neural-network	шабакаи аъсобӣ	сомонаи роёнаӣ ё як намуди барномаи роёнаӣ, ки барои тақлид кардани роҳи кори мағзи сари инсон тарроҳи кардашудааст
open source	https://www.merriam-webster.com/dictionary/open-source	сарчашмаи кушода	озодона дастрас будани коди сарчашма барои дигаргунӣ ва аз нав тақсимкунии нармафзор
operating system	https://www.merriam-webster.com/dictionary/operating%20system	сомонаи омил	нармафзоре, ки кори роёнаро идора мекунад ва иҷроиши барномаҳоро роҳбарӣ мекунад (ба монанди тақсимкунии ҷои холии хотира ва идоракунии функсияҳои дарундоду берундод)
packet	https://www.merriam-webster.com/dictionary/packet	бастак	#
port	https://www.merriam-webster.com/dictionary/port	бандар	#
program	https://dictionary.cambridge.org/dictionary/english/program	барнома	https://vazhaju.tj/search/%D0%B1%D0%B0%D1%80%D0%BD%D0%BE%D0%BC%D0%B0
protocol	https://www.merriam-webster.com/dictionary/protocol	қарордод	#
software	https://dictionary.cambridge.org/dictionary/english/software	нармафзор	https://vazhaju.tj/search/%D0%BD%D0%B0%D1%80%D0%BC%D0%B0%D1%84%D0%B7%D0%BE%D1%80
source code	https://www.merriam-webster.com/dictionary/source%20code	коди сарчашма	барномаи роёнаӣ дар забони барноманависии аслиаш (ба монанди FORTRAN ё C) пеш аз тарҷумаи он (одатан тавассути мутарҷим) ба коди объектӣ
user interface	https://www.merriam-webster.com/dictionary/user%20interface	восити корбар	нармафзоре, ки ба корбари роёна имкон медиҳад, ки бо сомонаи омили мошин ё сомона муошират кунад (ба монанди тавассути интихоб кардани гузинаҳои пешниҳодшуда ё ворид кардани фармонҳои матнӣ)
version control	https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control	назорати хел	сомонаест, ки дигаргуниҳои файл ё маҷъмӯъаи файлҳоро бо мурури замон сабт мекунад, то ки дертар корбар тавонад хели махсусро барқарор кунад
virtual reality	https://www.merriam-webster.com/dictionary/virtual%20reality	воқеъияти маҷозӣ	муҳити сунъӣ, ки тавассути ангезаҳои ҳассос (ба монанди диданиҳо ва садоҳо), ки аз ҷониби роёна таъмин карда мешаванд, эҳсос карда мешавад ва дар он аъмоли шахс қисман муайян мекунад, ки дар муҳит чӣ рӯй диҳад
virtualization	https://dictionary.cambridge.org/dictionary/english/virtualization	маҷозсозӣ	раванди сохтани навъи маҷозии як қисми сахтафзор ё нармафзори роёна
